checkpoint,depth.building.abs_rel.mean,depth.building.delta1.mean,depth.building.delta2.mean,depth.building.delta3.mean,depth.building.mae.mean,depth.building.rmse.mean,depth.building.rmse_log.mean,depth.building.si_log.mean,depth.building.sq_rel.mean,depth.full.abs_rel.mean,depth.full.delta1.mean,depth.full.delta2.mean,depth.full.delta3.mean,depth.full.mae.mean,depth.full.rmse.mean,depth.full.rmse_log.mean,depth.full.si_log.mean,depth.full.sq_rel.mean,depth.non_building.abs_rel.mean,depth.non_building.delta1.mean,depth.non_building.delta2.mean,depth.non_building.delta3.mean,depth.non_building.mae.mean,depth.non_building.rmse.mean,depth.non_building.rmse_log.mean,depth.non_building.si_log.mean,depth.non_building.sq_rel.mean,normals.building.angular_mean.mean,normals.building.angular_median.mean,normals.building.inlier_11_25.mean,normals.building.inlier_22_5.mean,normals.building.inlier_30.mean,normals.full.angular_mean.mean,normals.full.angular_median.mean,normals.full.inlier_11_25.mean,normals.full.inlier_22_5.mean,normals.full.inlier_30.mean,performance.fps.mean,performance.latency_sec.mean,performance.vram_mb.mean,photometric.building.error.mean,photometric.building.inlier_ratio.mean,planarity.building.inlier_ratio.mean,planarity.building.residual_mean.mean,planarity.building.residual_median.mean,pose.ate_rot_deg.mean,pose.ate_trans.mean,pose.rpe_rot_deg.mean,pose.rpe_trans.mean
baseline,2.0440308091828205,0.38220205705401766,0.5677980354905302,0.666650753778716,15.394533267696005,18.13063833882705,0.8424628543083332,0.5414112011696117,71.4984506139806,0.37699375914223493,0.6799876878634096,0.8642582607641817,0.9232613543570042,4.221315661638975,8.09621905889362,0.3862000433029607,0.38231694004777816,7.8807595790578056,0.3423956065438688,0.6890109221413732,0.8734248051419854,0.9304058120399713,3.9621082353964447,7.700193270944059,0.3658709036009386,0.3612432644069195,6.8524028358631766,83.73374422408347,84.38324399199537,0.03004326124740873,0.08344288519174728,0.1185081714341971,93.05471657943725,88.02431140899658,0.05316485141500016,0.09830388459330425,0.11608016102667898,0.34268332617231045,2.9181460655519986,10124.09326171875,0.07336316700603873,0.6544701203350369,0.14929078198530485,0.6320719933339684,0.5177237572066092,176.96611177062988,3628.5294018554687,1.2245737046881446,51.90021981994169
checkpoint_0,0.8491471107257715,0.13084658946580474,0.26230638973347736,0.38952965612637525,17.18548173876159,20.501170273232496,0.98685262392272,0.5632872413085521,14.750717837572465,0.6029623646903783,0.2339706431310624,0.44360351651906965,0.6414082526192069,8.162733440622688,12.4880497084558,0.69566221071966,0.6905465727895498,6.208628452666104,0.6018951161801815,0.23736242176778616,0.4492833845540881,0.6494524371400475,7.883789180889726,12.077379385501146,0.685012506974861,0.6785992476772517,6.010534613291733,74.81774408076062,84.81279647087128,0.04847981639046638,0.14756312166413793,0.19590543408298725,72.31070641708374,82.1817455997467,0.05231176112964749,0.1591672779507935,0.20660959781333804,0.3303864730809587,3.0267583011940005,10144.73876953125,0.13214528830088368,0.4891722431069229,0.3119718174417006,0.2868933672673909,0.2618030666011568,177.77108938217162,3629.952105529785,1.1424830235083188,48.16060193502903
checkpoint_1,0.8946896114898208,0.13916151312467676,0.2763125070691442,0.4160211584210189,17.052759800521997,20.04013027058736,0.9090007937562238,0.5548847542644759,15.308493804755836,0.5558075746893882,0.27505126617103814,0.5138295935690403,0.7061894582286478,7.541247620031237,11.73548949199915,0.6300331767499446,0.6262599580492825,5.607899837259203,0.5504405197016895,0.2794535223804414,0.5213282166644931,0.7151712720170618,7.263537185981869,11.32903599022329,0.6198224858008325,0.615229121612385,5.383563761860132,83.95592538756033,84.01312691358416,0.020576726848193273,0.05584498775433655,0.08695973385863953,81.03927545166016,79.07411719512939,0.02559967186395079,0.06775752932112664,0.10658666113391518,0.3302061827344955,3.0284108907920015,10145.23779296875,0.1328307358972342,0.48455213301378225,0.2956108307022182,0.2878232616185016,0.2514613052556968,178.0895227241516,3611.8279406433107,1.0093703845547777,48.03235050656966
checkpoint_2,0.9807033790388342,0.1692492508665105,0.33463401163657613,0.5079846971723087,14.83646117449338,17.755584683663706,0.8202993177305807,0.5431751388120193,15.516358108766736,0.3415409829560667,0.4432624163068831,0.7342598013170063,0.856015291787684,5.630196982353926,10.048633771747351,0.46908593237772583,0.4151811360362917,3.5575422116164117,0.32684697312302885,0.4525727250557393,0.7478034637682139,0.8670356092005969,5.3312840728908775,9.617276391595603,0.4531875482313335,0.39815024933218957,3.2712608717214318,76.75921743600338,83.96699380177652,0.03713220346406926,0.11612536604624116,0.16107630423384714,87.90525743675232,86.55591310501099,0.05480138226924464,0.10421328543592244,0.13030000793375074,0.3306378768653439,3.024456875542004,10145.23779296875,0.1271122580524457,0.49325922164216374,0.27803373717323754,0.32795584556692703,0.2852249109313151,178.03069185638427,3657.7612069396973,1.0294441180889096,48.34281518799918
checkpoint_3,0.9933291929545441,0.16274126307037612,0.32576656226788486,0.4994640111706772,14.880571342999326,17.845312720451684,0.8304091900868058,0.5502953970269591,15.618376332892316,0.3194306982792914,0.5333361824005842,0.7543233705684542,0.8533381605148316,5.5545931994318964,10.206106871925295,0.459641335522756,0.41833331700228155,3.5461142013762146,0.30515740853734313,0.5470353665407747,0.7691636380031704,0.8645133383795619,5.24138203458488,9.758047624863684,0.4427688715327531,0.40228936993516984,3.2691349387085067,75.29095386021923,84.63957354773773,0.05258751004399582,0.14036048548877542,0.17866744864658085,87.78126161003112,86.34566153144837,0.054544729453977196,0.11247866168059409,0.13664290167577564,0.33044775566085927,3.026196979307999,10145.23779296875,0.13208678853957737,0.48969289674581357,0.2856891385269843,0.31420905105227187,0.27142036284014315,177.98630781173705,3652.4104162597655,1.0211577423502292,48.66442773629938
checkpoint_4,0.9986801935883916,0.16368504338189901,0.3372430782038504,0.5084008092217369,14.953115759842891,17.70924174257752,0.8232433517619514,0.5414653253563223,15.903699202363583,0.31469373929686845,0.5422516132388264,0.7645242688283325,0.8597161988317966,5.349440093927085,9.9082158960402,0.45061383829638363,0.4116442249212414,3.4595999534185977,0.29755370279029014,0.5565820116177201,0.7809980290159583,0.871797875970602,5.025545183636248,9.451714575976133,0.4318871533665806,0.3926375694125891,3.1486253899615257,75.53394471846947,83.81132266312254,0.049507790610401545,0.13110844879289596,0.16747213652907203,88.15472736167908,86.5807545490265,0.04939860688010231,0.10976844907877967,0.1340160823026672,0.3303613895463526,3.0269881155699987,10145.23779296875,0.13216293092126727,0.4874109575076655,0.2800212173061488,0.32994302425534955,0.2875214270667708,177.9061001548767,3666.455165588379,1.0872304505003352,50.96329712619101
checkpoint_5,1.0585339585898303,0.2547476937409349,0.47384198778929926,0.6481634038694443,12.369820109707707,14.88630874740803,0.7157063992319042,0.5375290730519109,16.914290470492052,0.2980574436681345,0.6289360374137759,0.8404625437185168,0.9169794459939002,4.2834194831103085,7.967576146543026,0.3672503704931587,0.3582187869362533,3.122317662931979,0.2782391965966672,0.6397085468620062,0.8518692354559898,0.9251372767984867,4.030508982568979,7.599160948857665,0.3508624021653086,0.3403669659979641,2.7671074515618383,79.1622627559351,77.86964565844356,0.02105741731987182,0.06576894277369959,0.10605234768790162,91.40738480186462,86.46854600715638,0.04025757115380839,0.0838508589696139,0.1077928138654679,0.3293043245083325,3.0367047304740042,10145.23779296875,0.1348337489346105,0.49132069070468404,0.2348828738860986,0.37286361268973567,0.32309360198690884,178.02362588882445,3658.187939239502,1.0402533123636883,47.6029248590512
checkpoint_6,1.1006127298595463,0.3155328959149199,0.5367462970704318,0.69244698586602,11.33422147843715,13.432712319072905,0.6786874823137065,0.49539320521500246,18.74054237777455,0.30326898295618593,0.6493347001075744,0.8641426218822599,0.9320170576125384,3.8802171952575444,6.944125551477074,0.3503809604048729,0.34569463828764857,3.311533728223294,0.2857927868887782,0.6586276215575635,0.8728456992283463,0.9377647509276867,3.6703094141334294,6.6393862327635285,0.3366970012038946,0.3310458271782845,2.9754137993119656,80.8216828491369,82.71639351966601,0.03499049149883442,0.11157115869657148,0.15516147258222898,92.17339145660401,86.92548943901062,0.044087468539830296,0.09125395656516776,0.1159184970408678,0.32948101708188987,3.0350762203440027,10145.23779296875,0.13343348025008292,0.49059732435247455,0.20554213285429923,0.42330683589219875,0.37533623620311823,178.05640758895873,3587.8190902404785,1.0258061921628459,47.908396163599825
checkpoint_7,1.1095875941513216,0.33573730690763487,0.5623024041378657,0.7035963496859398,10.897938965162137,13.002106912614785,0.6770256369178065,0.5053970900739186,19.324402117689033,0.31073253793362526,0.6638287807032466,0.8683690686449409,0.9321125266999006,3.8524151270613074,6.882727741762996,0.3523481229227036,0.3485051543172449,3.5686780697358773,0.2891583905788139,0.6727923144735396,0.8776250651925802,0.938839418798685,3.6426282307356597,6.587956876561045,0.3368211394604296,0.3320214200336486,3.1613403116343544,81.17634152073663,84.30057238342079,0.04778360579911066,0.12072950655583839,0.1622436234213348,92.04661269760132,87.00211618614196,0.044973585108993575,0.09212445439491421,0.11690906126797199,0.32925192386968694,3.03718802383,10145.23779296875,0.12833271259088408,0.4954439927713242,0.19973326403679412,0.4401930223294943,0.39383016939179716,177.95993156814575,3668.833723907471,1.0336133992012058,48.746927888768056
checkpoint_8,1.163150747147242,0.3425676280281602,0.5681546539134492,0.7093387186540506,11.047855398811018,13.120538747921389,0.6752320199335379,0.49824376219439104,20.610078686534425,0.29756452938821165,0.674522152621299,0.8741856745034456,0.93606776098907,3.764781259968877,6.767997445881367,0.34138388323225083,0.33758296197094023,3.3692153144525365,0.2782928945021704,0.6837679162919521,0.8828749998509884,0.9421526790112257,3.5649940813928844,6.495444241404534,0.32698536683805285,0.3222220154646784,3.0214642164735124,80.69986462384972,84.64519763544796,0.052825888952300434,0.12733765135093308,0.16802969302388307,92.10832439231872,87.00250250053406,0.044817097825463864,0.09222701560147106,0.11689601774513722,0.3287028060756714,3.0422618289719976,10145.23779296875,0.13147926980492944,0.49084880127588915,0.19279968737218645,0.42940558221324526,0.3881485995819703,178.09711181259155,3607.4686940307615,1.108876576310822,52.81540835322653
